Reading ID, Time (µs), Force (N) 
1058,7345018,51
1059,7346043,51
1060,7347066,49
1061,7348084,49
1062,7349117,48
1063,7350131,49
1064,7351149,47
1065,7352164,49
1066,7353196,50
1067,7354212,50
1068,7355242,51
1069,7356262,53
1070,7357278,52
1071,7358305,53
1072,7359328,53
1073,7360348,54
1074,7361368,53
1075,7362392,51
1076,7363409,51
1077,7364433,49
1078,7365458,50
1079,7366474,49
1080,7367490,49
1081,7368521,49
1082,7369539,50
1083,7370563,50
1084,7371587,51
1085,7372607,53
1086,7373625,53
1087,7374652,53
1088,7375674,53
1089,7376690,54
1090,7377750,53
1091,7378761,52
1092,7379794,51
1093,7380811,50
1094,7381845,50
1095,7382874,50
1096,7383886,50
1097,7384900,49
1098,7385898,50
1099,7386911,51
1100,7387928,51
1101,7388953,54
1102,7390839,53
1103,7391024,54
1104,7392840,53
1105,7393031,55
1106,7394837,53
1107,7395083,53
1108,7396840,53
1109,7397128,52
1110,7398832,51
1111,7399160,51
1112,7400837,51
1113,7401214,49
1114,7402837,50
1115,7403258,52
1116,7404833,51
1117,7405301,54
1118,7406837,54
1119,7407334,54
1120,7408833,55
1121,7409383,54
1122,7410833,54
1123,7411430,54
1124,7412833,54
1125,7413465,53
1126,7414838,52
1127,7415517,51
1128,7416837,51
1129,7417550,51
1130,7418831,51
1131,7419599,52
1132,7420831,52
1133,7421648,53
1134,7422831,54
1135,7423692,54
1136,7424867,55
1137,7426721,55
1138,7426909,55
1139,7428752,54
1140,7428930,54
1141,7430789,52
1142,7430981,52
1143,7432841,51
1144,7433020,51
1145,7434834,50
1146,7435022,51
1147,7436838,51
1148,7437033,52
1149,7438832,53
1150,7439023,55
1151,7440831,55
1152,7441060,54
1153,7442848,55
1154,7443104,54
1155,7444830,55
1156,7445135,54
1157,7446831,53
1158,7447192,53
1159,7448842,51
1160,7449237,51
1161,7450516,51
1162,7451277,50
1163,7452294,52
1164,7453313,52
1165,7454342,53
1166,7455367,53
1167,7456382,55
1168,7457407,54
1169,7458432,55
1170,7459439,56
1171,7460472,55
1172,7461489,54
1173,7462513,54
1174,7463533,53
1175,7464548,53
1176,7465579,53
1177,7466602,52
1178,7467623,52
1179,7468640,50
1180,7469666,52
1181,7470684,52
1182,7471698,54
1183,7472760,54
1184,7473777,55
1185,7474798,55
1186,7475815,55
1187,7476853,57
1188,7477879,55
1189,7478882,53
1190,7479904,54
1191,7480899,52
1192,7481927,51
1193,7482944,51
1194,7483959,52
1195,7484992,52
1196,7486009,52
1197,7487033,52
1198,7488057,54
1199,7489074,55
1200,7490098,56
1201,7491121,56
1202,7492139,56
1203,7493159,55
1204,7494187,56
1205,7495212,54
1206,7496240,54
1207,7497253,53
1208,7498277,52
1209,7499293,52
1210,7500316,51
1211,7501334,51
1212,7502349,51
1213,7503375,52
1214,7504399,54
1215,7505423,54
1216,7506446,55
1217,7507468,55
1218,7508484,55
1219,7509506,56
1220,7510533,56
1221,7511554,55
1222,7512579,53
1223,7513599,52
1224,7514621,52
1225,7515632,51
1226,7516661,53
1227,7517686,52
1228,7518695,51
1229,7519751,52
1230,7520767,53
1231,7521795,53
1232,7522816,54
1233,7523843,55
1234,7524870,55
1235,7525886,55
1236,7526883,56
1237,7527902,55
1238,7528920,54
1239,7529943,54
1240,7530967,52
1241,7531992,52
1242,7533010,52
1243,7534032,51
1244,7535043,52
1245,7536064,52
1246,7537097,54
1247,7538122,53
1248,7539134,55
1249,7540162,56
1250,7541179,56
1251,7542203,55
1252,7543227,57
1253,7544246,56
1254,7545269,55
1255,7546292,54
1256,7547311,53
1257,7548325,52
1258,7549352,53
1259,7550379,52
1260,7551399,53
1261,7552421,52
1262,7553439,53
1263,7554459,54
1264,7555487,55
1265,7556512,56
1266,7557527,55
1267,7558545,55
1268,7559571,56
1269,7560593,56
1270,7561627,55
1271,7562638,55
1272,7563659,54
1273,7564671,52
1274,7565698,53
1275,7566754,53
1276,7567768,52
1277,7568786,52
1278,7569807,53
1279,7570833,53
1280,7571879,54
1281,7572891,54
1282,7573888,55
1283,7574902,56
1284,7575918,56
1285,7576942,56
1286,7577959,55
1287,7578984,55
1288,7580007,53
1289,7581028,53
1290,7582048,52
1291,7583072,53
1292,7584097,52
1293,7585113,52
1294,7586125,52
1295,7587158,53
1296,7588174,54
1297,7589190,56
1298,7590227,56
1299,7591243,55
1300,7592255,56
1301,7593286,56
1302,7594299,56
1303,7595335,55
1304,7596351,54
1305,7597370,53
1306,7598396,52
1307,7599413,53
1308,7600440,52
1309,7601457,52
1310,7602472,52
1311,7603499,54
1312,7604516,54
1313,7605552,55
1314,7606568,56
1315,7607590,55
1316,7608604,56
1317,7609627,56
1318,7610664,56
1319,7611678,55
1320,7612695,55
1321,7613755,55
1322,7614766,53
1323,7615794,52
1324,7616805,52
1325,7617826,51
1326,7618869,53
1327,7619891,54
1328,7620889,53
1329,7621893,54
1330,7622905,55
1331,7623938,57
1332,7624958,56
1333,7625976,57
1334,7627000,56
1335,7628020,56
1336,7629035,55
1337,7630068,54
1338,7631089,53
1339,7632100,54
1340,7633134,53
1341,7634153,52
1342,7635164,52
1343,7636198,53
1344,7637218,54
1345,7638242,55
1346,7639264,55
1347,7640275,56
1348,7641306,56
1349,7642329,57
1350,7643355,57
1351,7644361,55
1352,7645389,56
1353,7646410,55
1354,7647424,54
1355,7648457,53
1356,7649475,53
1357,7650501,53
1358,7651518,52
1359,7652543,53
1360,7653556,54
1361,7654587,54
1362,7655605,55
1363,7656620,56
1364,7657654,56
1365,7658670,57
1366,7659697,57
1367,7660752,57
1368,7661762,55
1369,7662785,55
1370,7663812,54
1371,7664822,54
1372,7665861,53
1373,7666880,53
1374,7667892,53
1375,7668892,52
1376,7669904,54
1377,7670933,54
1378,7671945,55
1379,7672978,56
1380,7673997,57
1381,7675021,56
1382,7676040,58
1383,7677059,58
1384,7678078,56
1385,7679109,56
1386,7680125,55
1387,7681144,54
1388,7682173,53
1389,7683190,54
1390,7684211,53
1391,7685239,52
1392,7686258,54
1393,7687284,55
1394,7688302,55
1395,7689325,56
1396,7690335,56
1397,7691368,56
1398,7692385,57
1399,7693411,58
1400,7694434,57
1401,7695450,56
1402,7696465,56
1403,7697498,55
1404,7698517,53
1405,7699541,54
1406,7700552,53
1407,7701580,53
1408,7702606,54
1409,7703628,55
1410,7704645,55
1411,7705666,56
1412,7706693,56
1413,7707748,58
1414,7708766,57
1415,7709775,58
1416,7710802,57
1417,7711819,56
1418,7712847,55
1419,7713885,55
1420,7714894,53
1421,7715893,54
1422,7716904,53
1423,7717923,53
1424,7718952,53
1425,7719969,55
1426,7720985,54
1427,7722019,56
1428,7723038,57
1429,7724053,57
1430,7725079,57
1431,7726099,58
1432,7727115,58
1433,7728147,56
1434,7729168,56
1435,7730191,55
1436,7731213,54
1437,7732233,55
1438,7733249,54
1439,7734279,54
1440,7735293,53
1441,7736311,55
1442,7737344,55
1443,7738360,55
1444,7739386,56
1445,7740406,57
1446,7741438,58
1447,7742440,58
1448,7743473,57
1449,7744492,56
1450,7745512,56
1451,7746533,55
1452,7747555,55
1453,7748576,55
1454,7749603,53
1455,7750620,53
1456,7751644,52
1457,7752668,54
1458,7753684,54
1459,7754745,55
1460,7755761,55
1461,7756776,57
1462,7757802,58
1463,7758820,56
1464,7759849,59
1465,7760876,57
1466,7761882,55
1467,7762886,57
1468,7763899,55
1469,7764927,54
1470,7765945,54
1471,7766964,54
1472,7767992,53
1473,7769009,54
1474,7770025,54
1475,7771057,55
1476,7772074,56
1477,7773102,56
1478,7774128,57
1479,7775143,58
1480,7776159,57
1481,7777187,57
1482,7778205,57
1483,7779228,57
1484,7780253,55
1485,7781267,54
1486,7782289,54
1487,7783319,54
1488,7784335,53
1489,7785359,54
1490,7786383,54
1491,7787400,55
1492,7788426,55
1493,7789438,57
1494,7790472,57
1495,7791492,57
1496,7792513,58
1497,7793538,57
1498,7794550,57
1499,7795567,56
1500,7796600,56
1501,7797619,54
1502,7798643,53
1503,7799665,54
1504,7800686,53
1505,7801748,53
1506,7802763,55
1507,7803774,54
1508,7804791,55
1509,7805811,56
1510,7806841,56
1511,7807878,56
1512,7808883,57
1513,7809892,57
1514,7810903,57
1515,7811920,57
1516,7812935,55
1517,7813967,54
1518,7814985,54
1519,7816000,53
1520,7817032,54
1521,7818052,53
1522,7819074,54
1523,7820097,54
1524,7821115,55
1525,7822139,55
1526,7823168,56
1527,7824180,57
1528,7825204,57
1529,7826228,58
1530,7827244,57
1531,7828265,56
1532,7829293,56
1533,7830310,54
1534,7831326,53
1535,7832358,53
1536,7833375,54
1537,7834401,55
1538,7835423,53
1539,7836443,54
1540,7837460,54
1541,7838488,56
1542,7839506,57
1543,7840529,57
1544,7841553,56
1545,7842578,56
1546,7843594,58
1547,7844618,56
1548,7845643,57
1549,7846656,55
1550,7847687,55
1551,7848745,54
1552,7849758,54
1553,7850776,52
1554,7851799,53
1555,7852809,53
1556,7853836,55
1557,7854868,55
1558,7855892,56
1559,7856889,58
1560,7857895,56
1561,7858911,56
1562,7859942,58
1563,7860960,56
1564,7861975,56
1565,7863007,56
1566,7864025,54
1567,7865049,54
1568,7866072,54
1569,7867090,53
1570,7868116,53
1571,7869138,54
1572,7870157,53
1573,7871170,54
1574,7872211,57
1575,7873220,56
1576,7874243,57
1577,7875268,57
1578,7876285,59
1579,7877304,58
1580,7878334,56
1581,7879350,56
1582,7880374,55
1583,7881398,54
1584,7882418,54
1585,7883439,54
1586,7884463,53
1587,7885480,53
1588,7886503,54
1589,7887527,55
1590,7888546,56
1591,7889569,56
1592,7890593,57
1593,7891610,58
1594,7892632,57
1595,7893658,57
1596,7894669,57
1597,7895749,56
1598,7896762,56
1599,7897779,54
1600,7898801,53
1601,7899820,54
1602,7900832,54
1603,7901876,54
1604,7902898,54
1605,7903900,53
1606,7904900,55
1607,7905918,56
1608,7906935,57
